
구입금액을 입력해 주세요.

수동으로 구매할 로또 수를 입력해 주세요.

수동으로 구매할 번호를 입력해 주세요.(,로 구분합니다.)

자동에 노출되고 싶지 않은 번호를 , 구분자로 하여 입력하세요

수동으로 1장, 자동으로 1399개를 구매했습니다.
1,2,3,4,25,27 번호 제외되었습니다.
[1,2,3,4,5,6]
[9,14,23,31,37,40]
[8,16,22,40,42,44]
[7,11,13,15,20,39]
[9,21,24,28,31,43]
[6,7,15,23,30,34]
[7,26,31,32,36,37]
[6,12,21,26,39,40]
[10,18,20,23,39,44]
[6,18,34,35,36,43]
[10,12,24,39,40,42]
[11,14,23,34,37,40]
[11,14,22,37,41,43]
[9,16,18,20,39,41]
[17,24,32,39,41,42]
[5,14,22,29,30,32]
[5,6,7,17,20,43]
[7,9,20,21,35,38]
[6,11,15,19,28,43]
[19,33,35,38,39,42]
[5,16,20,32,39,43]
[7,11,13,15,20,31]
[10,11,15,18,29,32]
[9,18,20,29,34,37]
[7,14,20,23,31,33]
[6,10,30,31,39,41]
[6,7,12,29,30,43]
[7,14,29,31,36,40]
[7,12,38,40,41,42]
[7,16,24,31,33,37]
[9,10,14,15,36,42]
[5,7,11,32,33,35]
[6,24,28,29,34,36]
[6,15,17,24,30,42]
[8,13,22,32,38,39]
[16,20,22,28,30,40]
[7,11,12,13,31,35]
[11,16,18,40,41,43]
[6,7,11,13,14,42]
[13,19,28,31,32,42]
[13,20,33,38,43,44]
[24,26,32,33,34,44]
[10,12,23,24,38,44]
[10,13,23,32,40,42]
[6,23,26,30,36,43]
[19,26,28,30,41,43]
[6,13,16,28,35,45]
[6,28,31,33,35,43]
[13,15,17,28,38,40]
[17,22,26,34,37,38]
[9,10,12,13,30,40]
[7,14,18,32,42,44]
[14,17,18,23,28,38]
[5,6,7,16,17,36]
[5,26,29,40,43,44]
[9,12,13,17,29,36]
[6,9,13,36,43,44]
[5,16,18,20,21,37]
[7,11,16,23,41,44]
[12,21,22,34,39,40]
[8,17,21,29,35,45]
[5,7,12,31,34,39]
[6,12,13,24,31,40]
[7,17,19,23,30,38]
[10,17,29,30,33,43]
[6,9,17,18,39,43]
[8,9,29,31,37,42]
[6,10,17,23,34,41]
[10,23,37,41,43,44]
[9,10,38,40,43,45]
[18,24,26,33,36,43]
[7,8,10,22,32,38]
[13,14,15,17,32,37]
[12,17,26,33,39,44]
[19,23,26,33,42,45]
[11,14,28,29,30,41]
[17,21,28,32,33,40]
[21,22,23,30,31,43]
[13,17,28,35,37,40]
[8,9,12,24,30,38]
[7,16,18,28,31,45]
[11,14,15,20,22,24]
[6,12,32,33,38,40]
[18,22,30,34,38,43]
[13,23,29,30,31,45]
[6,14,21,23,29,36]
[23,26,32,35,41,45]
[5,6,19,23,28,32]
[8,9,18,20,35,41]
[5,10,11,12,13,43]
[6,8,12,29,32,36]
[5,14,24,31,40,42]
[8,12,18,26,31,45]
[6,15,19,32,34,45]
[8,12,18,29,32,39]
[10,19,30,32,34,44]
[9,13,16,20,26,30]
[11,23,28,30,32,39]
[11,13,19,38,40,43]
[12,21,22,24,31,34]
[11,15,24,30,33,44]
[11,12,16,24,39,45]
[6,15,18,29,33,37]
[20,26,29,39,40,45]
[5,17,20,29,30,43]
[5,15,19,21,36,37]
[8,18,21,31,32,42]
[5,12,19,23,37,38]
[16,24,31,34,38,45]
[12,17,18,21,33,36]
[16,20,32,35,44,45]
[10,16,17,23,31,38]
[13,16,22,28,41,45]
[10,13,19,21,28,45]
[13,28,30,36,37,39]
[10,11,15,22,33,42]
[10,31,32,34,38,45]
[18,22,29,37,41,42]
[5,8,12,19,21,29]
[8,13,14,15,17,40]
[8,9,13,35,38,44]
[12,15,33,35,41,43]
[6,8,15,17,23,30]
[10,15,20,23,38,45]
[6,11,13,16,22,29]
[11,13,15,18,20,33]
[7,11,17,20,35,45]
[17,19,22,31,40,44]
[15,29,34,40,41,45]
[7,18,20,22,23,34]
[7,17,19,31,37,43]
[8,16,17,19,22,24]
[12,14,19,20,24,29]
[8,9,19,26,30,45]
[6,13,17,19,24,33]
[14,17,34,35,41,44]
[7,8,10,11,40,45]
[15,16,22,30,38,45]
[5,6,12,21,24,37]
[8,14,15,19,21,39]
[5,14,21,26,28,37]
[5,14,16,19,20,35]
[6,9,29,33,40,45]
[5,13,15,16,44,45]
[5,11,13,34,35,37]
[19,24,28,34,36,45]
[6,9,30,34,35,42]
[10,17,18,21,30,37]
[6,12,14,21,29,42]
[17,18,24,31,39,41]
[6,10,12,21,31,42]
[7,9,11,19,29,43]
[10,19,31,33,35,38]
[20,30,40,41,42,45]
[8,11,15,17,22,29]
[7,12,17,18,21,24]
[12,21,24,29,31,45]
[7,16,30,39,42,45]
[6,13,22,23,28,33]
[9,16,26,28,41,44]
[9,28,29,34,39,44]
[5,6,9,24,37,40]
[6,7,14,16,17,20]
[10,21,23,33,41,43]
[23,28,32,33,38,45]
[8,14,18,21,31,34]
[12,26,30,34,38,39]
[5,16,26,28,29,41]
[5,9,12,13,26,37]
[9,11,17,34,35,41]
[8,9,12,26,29,38]
[6,9,12,17,24,45]
[8,9,11,16,18,41]
[10,14,23,38,39,43]
[8,16,17,20,31,35]
[8,9,12,21,30,35]
[8,13,14,23,40,44]
[15,17,18,19,44,45]
[5,23,30,33,36,43]
[8,21,32,33,34,45]
[12,13,19,26,33,39]
[11,28,30,31,41,43]
[9,26,28,31,41,43]
[12,28,31,35,41,45]
[7,11,12,17,23,31]
[6,18,20,22,31,35]
[7,8,9,15,22,34]
[9,23,24,26,28,43]
[10,18,19,31,33,40]
[18,30,31,39,43,44]
[10,11,14,28,31,40]
[18,24,26,31,42,45]
[17,24,35,37,41,44]
[5,14,17,31,35,42]
[7,11,12,13,15,40]
[9,21,30,32,37,40]
[5,15,16,23,28,32]
[11,16,20,22,36,38]
[6,14,18,34,36,37]
[6,21,28,33,41,42]
[5,19,20,22,26,35]
[9,14,18,30,32,33]
[5,19,21,30,33,35]
[16,21,23,33,36,44]
[6,10,20,33,35,45]
[9,20,24,32,34,42]
[14,16,18,34,39,41]
[8,18,20,32,42,45]
[7,11,15,18,20,32]
[10,21,29,33,39,40]
[11,23,24,33,40,41]
[8,9,10,12,23,40]
[14,17,20,29,41,45]
[5,7,16,29,40,42]
[10,13,19,26,35,36]
[7,8,10,20,28,38]
[19,23,31,37,42,43]
[18,20,23,30,35,40]
[7,16,26,32,42,45]
[6,8,12,14,17,33]
[12,13,24,26,30,37]
[9,22,26,38,40,45]
[13,17,19,26,32,34]
[15,16,23,41,42,43]
[15,26,36,38,40,43]
[5,6,22,30,35,37]
[14,18,20,22,26,33]
[8,9,19,30,34,43]
[11,16,19,24,30,34]
[7,13,20,28,32,37]
[12,23,29,35,36,37]
[6,15,18,20,31,32]
[15,21,34,37,42,43]
[8,10,20,31,33,34]
[12,15,24,31,34,45]
[9,18,22,30,40,43]
[18,19,22,31,34,41]
[19,20,21,22,35,40]
[10,13,16,28,38,43]
[8,19,32,41,42,44]
[6,15,20,22,24,45]
[17,19,22,23,41,42]
[15,20,21,36,37,39]
[8,11,24,29,36,43]
[12,17,19,24,37,40]
[19,21,28,29,37,45]
[7,14,24,34,38,39]
[6,20,21,34,43,44]
[8,20,37,38,39,43]
[8,9,15,17,22,38]
[6,12,13,19,29,40]
[11,28,35,39,40,43]
[6,24,26,31,38,40]
[17,24,35,37,39,41]
[9,14,33,36,39,41]
[5,20,24,29,33,36]
[10,14,20,43,44,45]
[14,15,18,30,33,41]
[16,20,33,37,41,44]
[7,13,14,19,31,39]
[16,21,30,36,37,40]
[5,9,15,20,32,42]
[8,12,19,21,42,43]
[10,11,21,36,38,41]
[5,9,11,14,22,23]
[6,10,13,32,38,44]
[12,15,28,38,39,41]
[7,10,13,26,29,40]
[6,8,14,22,23,42]
[5,10,19,23,39,45]
[8,13,20,21,23,38]
[8,9,14,20,32,37]
[5,13,21,38,44,45]
[7,8,12,23,30,44]
[7,21,22,26,32,41]
[7,13,19,22,31,34]
[8,20,23,31,36,44]
[8,17,18,19,23,28]
[12,15,20,30,37,39]
[8,13,19,28,30,40]
[16,18,24,34,41,44]
[6,12,21,26,35,40]
[5,10,17,28,40,41]
[12,14,18,21,24,31]
[9,10,22,36,43,44]
[6,17,18,23,26,40]
[9,15,20,22,40,43]
[6,19,29,30,36,45]
[9,15,17,28,43,45]
[5,12,22,36,39,42]
[5,13,19,21,22,37]
[9,18,23,28,31,37]
[8,12,13,35,38,40]
[7,17,19,20,34,41]
[19,24,26,35,36,40]
[31,33,35,37,41,45]
[12,13,15,18,32,36]
[9,11,13,37,42,43]
[7,11,17,18,34,43]
[7,11,18,32,38,40]
[6,10,26,31,34,43]
[10,11,17,28,38,41]
[20,22,29,32,35,45]
[5,8,28,29,34,40]
[9,26,36,38,39,44]
[17,21,23,30,34,42]
[5,13,14,24,26,41]
